47. Blok VI: Pengecekan Ternak Lainnya yang Merupakan Satwa Liar Tidak Diusahakan,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 merupakan ternak liar (seperti monyet, ular piton/python) yang tidak dibudidayakan dan diusahakan (R618 kode 6) maka tidak dicakup di subsektor peternakan.*/
/*Pengecekan Ternak Lainnya yang Merupakan Satwa Liar Tidak Diusahakan*/
/*Komoditas pada r602 merupakan ternak liar yang tidak dibudidayakan dan tidak diusahakan (r618 kode 6), sehingga tidak dicakup di subsektor peternakan (dihapus dari blok VI)*/
/*Jika ternak ini bukan merupakan ternak/satwa liar (semisal muncul karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain sebagaimana mestinya*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r618, b11_catatan, 'Komoditas pada r602 merupakan ternak liar yang tidak dibudidayakan dan tidak diusahakan (r618 kode 6), sehingga tidak dicakup di 
    subsektor peternakan (dihapus dari blok VI). Jika ternak ini bukan merupakan ternak/satwa liar (semisal muncul karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain sebagaimana 
    mestinya.' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499' and b6r618 = '6') and 
(
(UPPER(b6r602) not like UPPER('%lain%')) and
"
48. Blok VI: Pengecekan Ternak Lainnya yang Merupakan Satwa Liar Diusahakan,"/*Jika R603 terisi kode 4499 dan keterangan pada R602 merupakan ternak liar (seperti monyet, ular piton/python) yang dibudidayakan dan diusahakan (R618 kode 1) tetapi jumlah ternaknya kurang dari 10 ekor*/
/*Pengecekan Ternak Lainnya yang Merupakan Satwa Liar Diusahakan*/
/*Perlu konfirmasi tujuan utama pemeliharaan ternak R618 berkode 1 (pengembangbiakkan) untuk satwa liar (4499) tapi jumlah ternak kurang dari 10 ekor*/
/*Jika ternak ini bukan merupakan ternak/satwa liar (semisal muncul karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain sebagaimana mestinya*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r618, b6r606, b11_catatan, 'Perlu konfirmasi tujuan utama pemeliharaan ternak R618 berkode 1 (pengembangbiakkan) untuk satwa liar (4499) tapi jumlah 
    ternak kurang dari 10 ekor. Jika ternak ini bukan merupakan ternak/satwa liar (semisal muncul karena typo/salah tulis/tidak sengaja tercakup dalam query), maka lakukan prosedur perbaikan lain sebagaimana mestinya.' as Keterangan 
       
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499' and b6r618 = '1' and b6r606 < 10)
and
((UPPER(b6r602) not like UPPER('%lain%')) and
"
"49. Blok VI: Pengecekan Deskripsi Ternak Lainnya yang Salah Tulis (Typo), Tidak Menggunakan Nama Nasional, atau Belum Tercakup pada Pengecekan Query Deskripsi Ternak Lainnya yang Sudah Ada","/*Jika R603 terisi kode 4499 dan isian pada R602 belum tercakup/terdeteksi pada query pengecekan deskripsi ternak lainnya yang sudah ada, semisal karena salah tulis/typo atau tidak menggunakan nama nasional*/
/*Pengecekan Deskripsi Ternak Lainnya yang Salah Tulis (Typo), Tidak Menggunakan Nama Nasional, atau Belum Tercakup pada Pengecekan Query Deskripsi Ternak Lainnya yang Sudah Ada*/
/*Pengecekan untuk deskripsi ternak lainnya yang masih terlewat dari query deskripsi ternak lainnya yang sudah ada. Perbaiki isian ternak lainnya R602 dan/atau Kode Ternak R603 sesuai dengan prosedur perbaikan deskripsi ternak 
    lainnya yang sudah ada (kecuali satwa liar dan ternak yang memang dikodekan 4499) dan perbaiki jika ada kesalahan penulisan/typo atau tidak menggunakan nama nasional pada deskripsinya .*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b6r618, b11_catatan, 'Pengecekan untuk deskripsi ternak lainnya yang masih terlewat dari query deskripsi ternak lainnya yang sudah ada. 
    Perbaiki isian ternak lainnya R602 dan/atau Kode Ternak R603 sesuai dengan prosedur perbaikan deskripsi ternak lainnya yang sudah ada (kecuali satwa liar dan ternak yang memang dikodekan 4499) dan perbaiki jika ada kesalahan 
    penulisan/typo atau tidak menggunakan nama nasional pada deskripsinya.' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4499') and 
(
(UPPER(b6r602) not like UPPER('%luwak%')) and
"
50. Blok VI: Pengecekan Rumpun Lainnya Ternak Besar Sapi dan Kerbau,"/*Pengecekan Ternak Besar Sapi dan Kerbau untuk Jenis Rumpun Lainnya (19,29,39 dan 49)*/
/*Pengecekan Rumpun Lainnya Ternak Besar Sapi dan Kerbau*/
/*Perlu konfirmasi jenis rumpun Sapi dan Kerbau yang terisi jenis rumpun lainnya. Apakah benar tidak ada yang paling mendekati jenis rumpun yang sudah ada di ST2023-Kode?*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r605, b11_catatan, 'Perlu konfirmasi jenis rumpun Sapi dan Kerbau yang terisi jenis rumpun lainnya. Apakah benar tidak ada yang paling mendekati jenis 
    rumpun yang sudah ada di ST2023-Kode?' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4101' OR b6r603 = '4103' OR b6r603 = '4104' OR b6r603 = '4105') and (b6r605 = '19' OR b6r605 = '29' OR b6r605 = '39' OR b6r605 = '49'))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603, b6r605 asc
"
51. Blok VI: Pengecekan Jumlah Ternak Besar,"/*Pengecekan R606 untuk Jumlah Ternak Besar Sapi Potong, Kuda, Sapi Perah, Kerbau Potong, Kerbau Perah (4101, 4102, 4103, 4104, 4105) yang lebih dari 50 ekor. */
/*Pengecekan Jumlah Ternak Besar*/
/*Jumlah ternak besar Sapi Potong, Kuda, Sapi Perah, Kerbau Potong, atau Kerbau Perah (Kode 4101, 4102, 4103, 4104, atau 4105) > 50 (R606 > 50). Perlu konfirmasi, karena jumlah ternak cukup banyak*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r605, b6r606, b11_catatan, 'Jumlah ternak besar Sapi Potong, Kuda, Sapi Perah, Kerbau Potong, atau Kerbau Perah (Kode 4101, 4102, 4103, 4104, atau 4105) 
    > 50 (R606 > 50). Perlu konfirmasi, karena jumlah ternak cukup banyak' as Keterangan
FROM view_L2_Blok6 
WHERE ((b6r603 = '4101' OR b6r603 = '4102' OR b6r603 = '4103' OR b6r603 = '4104' OR b6r603 = '4105') and (b6r606 > 50))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc

"
52. Blok VI: Pengecekan Jumlah Ternak Kecil,"/*Pengecekan R606 untuk Jumlah Ternak Kecil (4201, 4202, 4203, 4204, atau 4205) yang lebih dari 100 ekor. */
/*Pengecekan Jumlah Ternak Kecil*/
/*Jumlah Ternak Kecil Babi, Domba Potong, Kambing Potong, Kambing Perah, atau Domba Perah (Kode 4201, 4202, 4203, 4204, atau 4205) > 100 (R606 > 100). Perlu konfirmasi, karena jumlah ternak cukup banyak*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah Ternak Kecil Babi, Domba Potong, Kambing Potong, Kambing Perah, atau Domba Perah (Kode 4201, 4202, 4203, 4204, atau 4205) > 
    100 (R606 > 100). Perlu konfirmasi, karena jumlah ternak cukup banyak' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4201' OR b6r603 = '4202' OR b6r603 = '4203' OR b6r603 = '4204' OR b6r603 = '4205') and (b6r606 > 100))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc
"
53. Blok VI: Pengecekan Jumlah Ternak Unggas Ayam Kampung Biasa dan Itik Manila,"/*Pengecekan R606 untuk Jumlah Ternak Unggas Ayam Kampung Biasa (4301) atau Itik Manila (4305) yang lebih dari 100 ekor. */
/*Pengecekan Jumlah Ternak Unggas Ayam Kampung Biasa dan Itik Manila*/
/*Jumlah ternak unggas Ayam Kampung Biasa (4301) atau Itik Manila (4305) > 100 (R606 > 100). Perlu konfirmasi, karena jumlah ternak cukup banyak*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah ternak unggas Ayam Kampung Biasa (4301) atau Itik Manila (4305) > 100 (R606 > 100). Perlu konfirmasi, karena jumlah ternak 
    cukup banyak' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4301' OR b6r603 = '4305') and (b6r606 > 100))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc
"
54. Blok VI: Pengecekan Jumlah Ternak Unggas Ayam Ras Pedaging FS dan Ayam Ras Petelur FS,"/*Pengecekan R606 untuk Jumlah Ternak Unggas Ayam Ras Pedaging FS (4302) atau Ayam Ras Petelur FS (4303) yang kurang dari 50 ekor. */
/*Pengecekan Jumlah Ternak Unggas Ayam Ras Pedaging FS dan Ayam Ras Petelur FS*/
/*Jumlah Ayam Ras Pedaging FS (4302) atau Ayam Ras Petelur FS (4303) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak sangat sedikit, kemungkinan bukan komoditas Ayam Ras*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah Ayam Ras Pedaging FS (4302) atau Ayam Ras Petelur FS (4303) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak sangat 
    sedikit, kemungkinan bukan komoditas Ayam Ras' as Keterangan
FROM view_L2_Blok6 
WHERE ((b6r603 = '4302' OR b6r603 = '4303') and (b6r606 < 50))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc

"
55. Blok VI: Pengecekan Jumlah Ternak Unggas Ayam Kampung Pedaging dan Ayam Kampung Petelur,"/*Pengecekan R606 untuk Jumlah Ternak Unggas Ayam Kampung Pedaging (4306) atau Ayam Kampung Petelur (4307) yang kurang dari 50 ekor.*/
/*Pengecekan Jumlah Ternak Unggas Ayam Kampung Pedaging dan Ayam Kampung Petelur*/
/*Jumlah Ayam Kampung Pedaging (4306) atau Ayam Kampung Petelur (4307) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak sangat sedikit, kemungkinan komoditas Ayam Kampung Biasa (4301)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah Ayam Kampung Pedaging (4306) atau Ayam Kampung Petelur (4307) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak sangat 
    sedikit, kemungkinan komoditas Ayam Kampung Biasa (4301)' as Keterangan    
FROM view_L2_Blok6 
WHERE ((b6r603 = '4306' OR b6r602 = '4307') and (b6r606 < 50))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc
"
56. Blok VI: Pengecekan Jumlah Ternak Lebah,"/*Pengecekan R606 untuk Jumlah Ternak Lebah (4413) yang lebih dari 100 koloni. 
*/
/*Pengecekan Jumlah Ternak Lebah*/
/*Jumlah Koloni Lebah (4413) > 100 (R606 > 100). Perlu konfirmasi, karena jumlah koloni sangat banyak, kemungkinan yang diisikan adalah jumlah ekor*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah Koloni Lebah (4413) > 100 (R606 > 100). Perlu konfirmasi, karena jumlah koloni sangat banyak, kemungkinan yang diisikan 
    adalah jumlah ekor' as Keterangan
FROM view_L2_Blok6 
WHERE ((b6r603 = '4413') and (b6r606 > 100))
ORDER by prov, kab, kec, desa, id_ruta, b3r301 asc 
"
"57. Blok VI: Pengecekan Jumlah Ternak Cacing, Ulat Sutera, dan Walet","/*Pengecekan R606 untuk Jumlah Ternak Cacing, Ulat Sutera, atau Walet (4409, 4416, atau 4417) yang kurang dari 50 ekor.*/
/*Pengecekan Jumlah Ternak Cacing, Ulat Sutera, dan Walet*/
/*Jumlah ternak Cacing, Ulat Sutera, atau Walet (Kode 4409, 4416, atau 4417) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak sangat sedikit, kemungkinan yang diisikan adalah jumlah sarang*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r606, b11_catatan, 'Jumlah ternak Cacing, Ulat Sutera, atau Walet (Kode 4409, 4416, atau 4417) < 50 (R606 < 50). Perlu konfirmasi, karena jumlah ternak 
    sangat sedikit, kemungkinan yang diisikan adalah jumlah sarang' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4417' OR b6r603 = '4416' OR b6r603 = '4409') and (b6r606 < 50)))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc 
"
58. Blok VI: Pengecekan Tujuan Utama Pemeliharaan Ternak untuk Pembibitan,"/*Semua Usaha Pembibitan perlu dikonfirmasi di R618*/
/*Pengecekan Tujuan Utama Pemeliharaan Ternak untuk Pembibitan*/
/*Perlu konfirmasi, kemungkinan tujuan utama pemeliharaan ternak adalah pengembangbiakkan jika tidak ada pemuliaan ternak (tidak mengetahui silsilah indukan)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r618, b11_catatan, 'Perlu konfirmasi, kemungkinan tujuan utama pemeliharaan ternak adalah pengembangbiakkan jika tidak ada pemuliaan ternak (tidak 
    mengetahui silsilah indukan)' as Keterangan    
FROM view_L2_Blok6 
WHERE (b6r618 = '3')
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc 

"
59. Blok VI: Pengecekan Keberadaan Ternak Betina Dewasa Sapi dan Kerbau untuk Pengembangbiakkan atau Pembibitan,"/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Sapi Potong, Sapi Perah, Kerbau Potong, atau kerbau Perah (Kode 4101, 4103, 4104, atau 4105) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada 
    ternak betina dewasa (R612 + R613 = 0)*/
/*Pengecekan Keberadaan Ternak Betina Dewasa Sapi dan Kerbau untuk Pengembangbiakkan atau Pembibitan*/
/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Sapi Potong, Sapi Perah, Kerbau Potong, atau kerbau Perah (Kode 4101, 4103, 4104, atau 4105) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada 
    ternak betina dewasa (R612 + R613 = 0)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602,  b6r603, b6r605, b6r618, COALESCE(b6r612,0) as b6r612, COALESCE(b6r613,0) as b6r613, b11_catatan, 'Perlu konfirmasi karena tujuan utama pemeliharaan ternak 
    (R618) ternak Sapi Potong, Sapi Perah, Kerbau Potong, atau kerbau Perah (Kode 4101, 4103, 4104, atau 4105) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada ternak betina dewasa (R612 + R613 = 0)' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4101' OR b6r603 = '4103' OR b6r603 = '4104' OR b6r603 = '4105') and (b6r618 = '1' OR b6r618 = '3') and (COALESCE(b6r612,0)+COALESCE(b6r613,0) = 0))) 
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc

"
60. Blok VI: Pengecekan Keberadaan Ternak Betina Dewasa Sapi Perah dan Kerbau Perah untuk Produksi Susu,"/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Sapi Perah (4103) atau Kerbau Perah (4105) berkode 5 (produksi susu) tapi tidak ada ternak betina dewasa (R612 + R613 = 0)*/
/*Pengecekan Keberadaan Ternak Betina Dewasa Sapi Perah dan Kerbau Perah untuk Produksi Susu*/
/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Sapi Perah (4103) atau Kerbau Perah (4105) berkode 5 (produksi susu) tapi tidak ada ternak betina dewasa (R612 + R613 = 0)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602,  b6r603, b6r605, b6r618, COALESCE(b6r612,0) as b6r612, COALESCE(b6r613,0) as b6r613, b11_catatan, 'Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) 
    ternak Sapi Perah (4103) atau Kerbau Perah (4105) berkode 5 (produksi susu) tapi tidak ada ternak betina dewasa (R612 + R613 = 0)' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4103' OR b6r603 = '4105') and (b6r618 = '5') and (COALESCE(b6r612,0)+COALESCE(b6r613,0) = 0)))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc

"
"61. Blok VI: Pengecekan Keberadaan Ternak Betina Dewasa selain Sapi, Kerbau, dan Ternak Lainnya untuk Pengembangbiakkan atau Pembibitan","/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak besar (selain sapi dan kerbau), ternak kecil, atau ternak unggas (selain unggas pedaging) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada ternak 
    betina dewasa (R614 = 0)*/
/*Pengecekan Keberadaan Ternak Betina Dewasa selain Sapi, Kerbau, dan Ternak Lainnya untuk Pengembangbiakkan atau Pembibitan*/
/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak besar (selain sapi dan kerbau), ternak kecil, atau ternak unggas (selain unggas pedaging) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada ternak 
    betina dewasa (R614 = 0)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r618, COALESCE(b6r614,0) as b6r614, b11_catatan, 'Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak besar (selain sapi dan 
    kerbau), ternak kecil, atau ternak unggas (selain unggas pedaging) berkode 1 (pengembangbiakan) atau 3 (pembibitan) tapi tidak ada ternak betina dewasa (R614 = 0)' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4102' OR b6r603 = '4201' OR b6r603 = '4202' OR b6r603 = '4203' OR b6r603 = '4204' OR b6r603 = '4205' OR b6r603 = '4406' OR b6r603 = '4415' OR b6r603 = '4418' OR b6r603 = '4419' OR b6r603 = '4301' OR b6r603 = '4303' 
    OR b6r603 = '4304' OR b6r603 = '4305' OR b6r603 = '4307' OR b6r603 = '4401' OR b6r603 = '4403' OR b6r603 = '4404' OR b6r603 = '4405' OR b6r603 = '4408') and ((b6r618 = '1' OR b6r618 = '3') and (COALESCE(b6r614,0) = 0))))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc
"
62. Blok VI: Pengecekan Keberadaan Ternak Betina Dewasa Unggas Petelur untuk Produksi Telur,"/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Ayam Ras Petelur FS, Itik Petelur, Ayam Kampung Petelur, atau Puyuh Petelur (4303, 4304, 4307, atau 4404) berkode 5 (produksi telur) tapi tidak ada ternak 
    betina dewasa (R614 = 0)*/
/*Pengecekan Keberadaan Ternak Betina Dewasa Unggas Petelur untuk Produksi Telur*/
/*Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Ayam Ras Petelur FS, Itik Petelur, Ayam Kampung Petelur, atau Puyuh Petelur (4303, 4304, 4307, atau 4404) berkode 5 (produksi telur) tapi tidak ada ternak 
    betina dewasa (R614 = 0)*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r618, COALESCE(b6r614,0) as b6r614, b11_catatan, 'Perlu konfirmasi karena tujuan utama pemeliharaan ternak (R618) ternak Ayam Ras Petelur FS, Itik 
    Petelur, Ayam Kampung Petelur, atau Puyuh Petelur (4303, 4304, 4307, atau 4404) berkode 5 (produksi telur) tapi tidak ada ternak betina dewasa (R614 = 0)' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4303' OR b6r603 = '4304' OR b6r603 = '4307' OR b6r603 = '4404') and ((b6r618 = 5) and (COALESCE(b6r614,0) = 0))))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc

"
63. Blok VI: Pengecekan Jumlah Siklus Ternak Unggas Pedaging,"/*Pengecekan R615 untuk Jumlah Siklus Ternak Unggas Pedaging (4302, 4306, 4308, atau 4420) yang lebih dari 10 siklus. 
*/
/*Pengecekan Jumlah Siklus Ternak Unggas Pedaging*/
/*Jumlah Siklus (R615) ternak Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging (Kode 4302, 4306, 4308, atau 4420) > 10. Perlu konfirmasi, karena jumlah siklus cukup banyak*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r615, b11_catatan, 'Jumlah Siklus (R615) ternak Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging (Kode 4302, 4306, 4308, 
    atau 4420) > 10. Perlu konfirmasi, karena jumlah siklus cukup banyak' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4302' OR b6r603 = '4306' OR b6r603 = '4308' OR b6r603 = '4420') and b6r615 > 10))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc 
"
64. Blok VI: Pengecekan Rata-rata Pembelian DOC/DOD/DOQ per Siklus Ternak Unggas Pedaging,"/*Pengecekan R616 untuk rata-rata pembelian DOC/DOD/DOQ per siklus Ternak Unggas Pedaging (4302, 4306, 4308, atau 4420) yang kurang dari 50 ekor per siklus. 
*/
/*Pengecekan Rata-rata Pembelian DOC/DOD/DOQ per Siklus Ternak Unggas Pedaging*/
/*Rata-rata pembelian DOC/DOD/DOQ per siklus (R616) ternak Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging (Kode 4302, 4306, 4308, atau 4420) < 50 ekor. Perlu konfirmasi, karena rata-rata pembelian DOC
    /DOD/DOQ cukup sedikit*/

SELECT prov, kab, kec, desa, id_ruta,  b3r301, status_dok, b6r601, b6r602, b6r603, b6r616, b11_catatan, 'Rata-rata pembelian DOC/DOD/DOQ per siklus (R616) ternak Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh 
    Pedaging (Kode 4302, 4306, 4308, atau 4420) < 50 ekor. Perlu konfirmasi, karena rata-rata pembelian DOC/DOD/DOQ cukup sedikit' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4302' OR b6r603 = '4306' OR b6r603 = '4308' OR b6r603 = '4420') and b6r616 < 50))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603 asc 

"
65. Blok VI: Pengecekan Harga Ternak Unggas Pedaging Per Ekor Sangat Rendah,"/*Harga Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging < 20.000 */
/*Pengecekan Harga Ternak Unggas Pedaging Per Ekor Sangat Rendah*/
/*Harga Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging < Rp. 20.000 per ekor. Perlu konfirmasi, karena harga per ekornya sangat rendah*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r615, b6r616, b6r620_1, b6r621_1, cast(((b6r621_1*1.0)/(b6r615*b6r616))*1000 as decimal(30,2)) as Harga_Per_Ekor_Rp, b11_catatan, 'Harga Ayam Ras 
    Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging < Rp. 20.000 per ekor. Perlu konfirmasi, karena harga per ekornya sangat rendah' as Keterangan
FROM view_L2_Blok6 
WHERE (((b6r603 = '4302' OR b6r603 = '4306' OR b6r603 = '4308' OR b6r603 = '4420') and (((b6r621_1/(b6r615*b6r616))*1000 < 20000))))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603, b6r621_1/(b6r615*b6r616) asc 
"
66. Blok VI: Pengecekan Harga Ternak Unggas Pedaging Per Ekor Sangat Tinggi,"/*Harga Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging > 100.000 */
/*Pengecekan Harga Ternak Unggas Pedaging Per Ekor Sangat Tinggi*/
/*Harga Ayam Ras Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging > Rp. 100.000 per ekor. Perlu konfirmasi, karena harga per ekornya sangat tinggi*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r615, b6r616, b6r620_1, b6r621_1, cast(((b6r621_1*1.0)/(b6r615*b6r616))*1000 as decimal(30,2)) as Harga_Per_Ekor_Rp, b11_catatan, 'Harga Ayam Ras 
    Pedaging FS, Ayam Kampung Pedaging, Itik Pedaging, atau Puyuh Pedaging > Rp. 100.000 per ekor. Perlu konfirmasi, karena harga per ekornya sangat tinggi' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r603 = '4302' OR b6r603 = '4306' OR b6r603 = '4308' OR b6r603 = '4420') and (((b6r621_1/(b6r615*b6r616))*1000 > 100000))))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603, b6r621_1/(b6r615*b6r616) asc 
"
67. Blok VI: Pengecekan Nilai Produksi Sangat Tinggi,"/*Nilai produksi sangat tinggi > Rp. 100.000.000 (100.000 dalam database)*/
/*Pengecekan Nilai Produksi Sangat Tinggi*/
/*Perlu konfirmasi, karena nilai produksi sangat tinggi (> Rp. 100.000.000 (100.000 dalam database))*/

SELECT prov, kab, kec, desa, id_ruta, b3r301, status_dok, b6r601, b6r602, b6r603, b6r621_1, b6r621_2, b6r621_3, b6r621_4, b6r621_5, b6r621_6, b6r621_7, b6r621_8, b6r621_9, b6r621_10, b6r621_11, b6r621_12, b11_catatan, 'Perlu 
    konfirmasi, karena nilai produksi sangat tinggi (> Rp. 100.000.000 (100.000 dalam database))' as Keterangan    
FROM view_L2_Blok6 
WHERE (((b6r621_1>100000) OR (b6r621_2>100000) OR (b6r621_3>100000) OR (b6r621_4>100000) OR (b6r621_5>100000) OR (b6r621_6>100000) OR (b6r621_7>100000) OR (b6r621_8>100000) OR (b6r621_9>100000) OR (b6r621_10>100000) OR (b6r621_11
    >100000) OR (b6r621_12>100000)))
ORDER by prov, kab, kec, desa, id_ruta, b3r301, b6r603, b6r621_1, b6r621_2, b6r621_3, b6r621_4, b6r621_5, b6r621_6, b6r621_7, b6r621_8, b6r621_9, b6r621_10, b6r621_11, b6r621_12 asc 

"
